,Name,Reference,Pantheon,Align,Rank,Nicknames / Portfolio,Domains,Weapon,Symbol
100,Vecna ,"(PH p108) 
(CDiv p118)
 (D&D p094)
 (LGG p186) 
(DR323 p65)+","Combo
Core
Greyhawk",NE,L,"“The Maimed Lord”, “The Whispered One”
Secrets, Intrigue","Destiny, Evil, Knowledge, Madness, Magic, Portal, Pride","Dagger
“Afterthought”",Left Hand holding an Eye
101,Vergadain ,"(F&P p123) 
(DR323 p65)+","Combo
Forgotten Realms
Dwarf",N,I,"“Merchant King”, “The Short Father”, “The Laughing Dwarf”
Wealth, Luck, Chance, Non-Evil Thieves, Suspicion, Trickery, Negotiation, Sly Cleverness","Dwarf, Greed, Gluttony, Luck, Sloth, Trade, Trickery","Longsword
“Goldseeker”",Gold Piece
102,Vhaeraun ,"(F&P p113)
(DR323 p65)+","Combo
Forgotten Realms
Drow",CE,L,"“The Masked Lord”, “The Masked God of Night”
Thievery, Drow Males, Evil activity on the Surface","Chaos, Drow, Envy, Evil, Greed, Pride, Travel, Trickery","Shortsword
“Shadowflash”",Pair of Black Glass Lenses that form a Mask
103,Wee Jas ,"(PH p108) 
(CDiv p119)
 (D&D p096)
 (LGG p187) 
(DR323 p65)+ 
(DR355 p26)+","Combo
Core
Greyhawk",LN,I,"“Witch Goddess”, “Ruby Sorceress”, “Death’s Guardian”
Death, Magic, Vanity","Death, Domination, Law, Magic, Mind, Patience, Portal, Pride","Dagger
“Discretion”",Red Skull in front of a Fireball
104,Yondalla ,"(CDiv p119)
 (D&D p097)
 (F&P p141)
(RotW p52) 
(DR323 p65)+ 
(DR355 p26)+","Combo
Halfling
Core",LG,G,"“The Protector and Provider”, “The Blessed One”
Halflings, Explorers, Family","Community, Creation, Family, Generosity, Gluttony, Good, Halfling, Law, Protection","Shortsword
“Hornblade”",Cornucopia on a Shield
105,Gorm’ ,(DR315 p090),Cynidicea,LN,,"Storms, Justice, War","Air, Law, War",Longsword,Blue Lightning Bolt
106,Madarua ,(DR315 p091),Cynidicea,N,,"Birth, Death, Changing Seasons, Warrior Maidens","Death, Healing, Protection",Longspear,Sickle
107,Usamigaras ,(DR315 p090),Cynidicea,CN,,"Healing, Messengers, Thieves, Magic","Healing, Magic, Trickery",Dagger,Five-pointed Silver Star
108,Zargon ,(DR315 p090),Cynidicea,LE,,"Control, Tyranny, Oppression","Destruction, Evil, Law","Flail, Light",Gold Mask of a Face with One Horn and 4 Tentacles on the Chin
109,Andropinus ,(DR319 p034),Dark Sun,,,,"Evil, Law, Travel, War",,
110,Atzetuk ,(DR319 p034),Dark Sun,,,,"Destruction, Evil, Magic, Sun",,
111,Dregoth ,(DR319 p034),Dark Sun,,,,"Chaos, Death, Evil, Knowledge",,
112,Hamanu ,(DR319 p034),Dark Sun,,,,"Evil, Law, Protection, Strength",,
113,Lalali-Puy ,(DR319 p034),Dark Sun,,,,"Evil, Healing, Paw, Plant",,
114,Shadow King ,(DR319 p034),Dark Sun,,,,"Chaos, Evil, Trickery, War",,
115,Baphomet ,"(HotA p058)
(DR341 p025)+",Demon,CE,,"“Demon Prince of Beasts”
Minotaur","Bestial, Chaos, Evil, Fury, Strength",Glaive –or– Battleaxe,Twisted Circular Maze awash in Blood
116,Dagon ,(HotA p059),Demon,CE,,“Demon Prince of the Depths”,"Chaos, Entropy, Evil, Water",,Six Spiraling Tentacles around a Fanged Mouth
117,Demogorgon ,(HotA p061),Demon,CE,,“Demon Prince of Demons”,"Chaos, Corruption, Demonic, Evil",,Forked Tail
118,Fraz-Urb’luu ,"(HotA p063)
(DR330 p25)+",Demon,CE,,“Demon Prince of Deception”,"Chaos, Demonic, Evil, Trickery",,Staff topped with a Humanoid Skull
119,Graz’zt ,(HotA p065),Demon,CE,,“The Dark Prince”,"Chaos, Demonic, Evil, Temptation",,Black Hand with Six Fingers
120,Juiblex ,(HotA p066),Demon,CE,,“The Faceless Lord”,"Chaos, Corruption, Evil, Ooze",,Pseudopod Dripping Slime
121,Kostchtchie ,"(HotA p068)
(DR345 p022)+",Demon,CE,,“Demon Prince of Wrath”,"Chaos, Evil, Fury, Winter",Maul,Hammer rimed in Bloody Ice
122,Malcanthet ,(HotA p069),Demon,CE,,“Demon Queen of the Succubi”,"Chaos, Evil, Temptation, Trickery",,Feminine Lips bleeding on a Thorn
123,Obox-Ob ,(HotA p071),Demon,CE,,“Demon Prince of Vermin”,"Chaos, Destruction, Entropy, Evil",,Jawless Skull with a Scorpion hanging from it
124,Pale Night ,(HotA p074),Demon,CE,,“The Mother of Demons”,"Chaos, Corruption, Evil, Knowledge",,Billowing Sheet draped over a Starry Field
125,Pazuzu ,(HotA p076),Demon,CE,,“Demon Prince of the Lower Aerial Kingdoms”,"Air, Chaos, Evil, Temptation",,Twisted Bird Talon
126,Yeeoghu ,(HotA p078),Demon,CE,,"“Demon Prince of Gnolls”
Gnolls","Chaos, Demonic, Evil, Fury",,Triple-Headed Flail
127,Zuggtmoy ,"(HotA p079)
(DR337 p42)+",Demon,CE,,“Demon Queen of Fungi”,"Chaos, Corruption, Demonic, Evil, Ooze, Plant",Scythe,Skull without a Jaw & a Mushroom on top
128,Adramalech ,(DR361),Devil,LE,,“Chancellor of Hell”,"Evil, Knowledge, Law",,
129,Asmodeus , (Tot9H p26),Devil,LE,,"“Lord of the Ninth Layer of Hell”
Might, Oppression, Devils","Diabolic, Evil, Law","Mace, Heavy",Clawed Fist holding a Claw –or– Ruby-tipped Rod
130,Baalzebul , (Tot9H p27),Devil,LE,,"“Lord of the Seventh Layer of Hell”, “Lord of Lies”
Strength, Guile","Diabolic, Strength, Trickery",Morningstar,Fly’s Head –or– Web dangling with Flies –or– Enthroned Slug
131,Bel , (Tot9H p28),Devil,LE,,"“Lord of the First Layer of Hell”
Treachery","Destruction, Strength, War",,
132,Belial , (Tot9H p27),Devil,LE,,"“Co-Lord of the Fourth Layer of Hell”
Secrets, Domination, Seduction","Evil, Knowledge, Trickery",Ranseur,Pair of Red Eyes over a Ranseur surounded by a Barbed Tail
133,Dispater , (Tot9H p27),Devil,LE,,"“Lord of the Second Layer of Hell”, “Iron Duke of Dis”
War, Intrigue","Destruction, Evil, War","Mace, Heavy",Fortress Embossed on a Shield
134,Fierna , (Tot9H p27),Devil,LE,,"“Co-Lord of the Fourth Layer of Hell”
Fire, Pain","Evil, Fire, Trickery",Scimitar,Pair of Red Eyes over a Ranseur surounded by a Barbed Tail
135,Glasya , (Tot9H p28),Devil,LE,,"“Lord of the Sixth Layer of Hell”, “Daughter of Asmodeus”
Corruption, Growth, Agony","Diabolic, Domination, Evil, Trickery",Scourge,Copper-colored Scourge
136,Lilith ,(DR361),Devil,LE,,“2nd Consort to the Lord of the Eighth Layer of Hell”,"Charm, Evil, Law",Whip,
137,Mammon , (Tot9H p26),Devil,LE,,"“Lord of the Third Layer of Hell”
Greed, Lust","Diabolic, Evil, Trickery",Shortspear,Coin with Mammon’s Image on it
138,Mephistopheles , (Tot9H p28),Devil,LE,,"“Lord of the Eighth Layer of Hell”
Fire, Magic","Diabolic, Evil, Fire",Ranseur,Copper & Gold Flame
139,Moloch ,(DR360),Devil,LE,,“Exiled Lord of the Sixth Layer of Hell”,"Evil, Fire, Law",Scourge,
140,Aasterinian ,(Dcn p031),Dragon,CN,D," “Messenger of Io”, “Goddess of Invention”
Learning, Invention, Pleasure","Charm, Chaos, Dragon, Oillusion, Luck, Trade, Trickery",Scimitar –or– Claw,Grinning Dragon’s Head
141,Astilabor ,(Dcn p032),Dragon,N,L," “Hoardmistress”, “The Acquisitor”
Acquistiveness, Status, Wealth","Cavern, Dragon, Metal, Protection, Wealth",Scimitar –or– Claw,Twelve-Faceted Gem
142,Chronepsis ,(Dcn p033),Dragon,N,L,"“The Silent”, “The Watcher”
Fate, Death, Judgement","Death, Dragon, Fate, Knowledge, Planning, Time",Scythe –or– Claw,Unblinking Draconic Eye
143,Falazure ,(Dcn p033),Dragon,NE,L,"“The Night Dragon”
Decay, Undeath, Exhaustion","Darkness, Death, Dragon, Evil, Undeath",Scimitar –or– Claw,Draconic Skull
144,Garyx ,(Dcn p033),Dragon,CE,L,"“Firelord”, “All-Destroyer”, “Cleanser of Worlds”
Fire, Destruction, Renewal","Chaos, Destruction, Dragon, Evil, Fire, Renewal",Sickle –or– Claw,Reptilian Eyes superimposed over a Flame
145,Hlal ,"(Dcn p034) 
(F&P p221)",Dragon,CG,L,"“The Jester”, “The Keeper of Tales”
Humor, Story-Tellig, Inspiration","Chaos, Dragon, Good, Rune, Scalykind, Trickery",Shortsword –or– Claw,Open Book –or– a Single Flame
146,Io ,(Dcn p034),Dragon,N,I,"“The Concordant Dragon”, “Swallower of Shades”, 
“The Ninefold Dragon”, “Creator of Dragonkind”
Dragonkind","Dragon, Knowledge, Magic, Spell, Strength, Travel, Wealth",Scimitar –or– Claw,Multi-Colored Disk
147,Lendys ,(Dcn p035),Dragon,LN,L,"“Scale of Justice”, “The Balancer”, “Weigher of Lives”
Balance, Justice","Destruction, Dragon, Law, Protection, Retribution",Longsword –or– Claw,Sword balanced on a Needle’s Point
148,Null ,(F&P p221),Dragon,LN,G,"Fate, Death, Judgement","Death, Fate, Knowledge, Law, Scalykind",Unarmed Strike,Circle divided into White & Black
149,Tamara ,(Dcn p035),Dragon,NG,L,"“Her Beneficence”, “Her Mercy”
Life, Light, Mercy","Dragon, Family, Good, Healing, Strength, Sun",Scimitar –or– Claw,Seven-pointed Star on a field of Black
150,Abbathor ,"(F&P p115)
(DR323 p65)+",Dwarf,NE,I,"“Great Master of Greed”, “Trove Lord”, “Wyrm of Avarice”
Greed","Dwarf, Evil, Greed, Luck, Trade, Trickery","Dagger
“Heart of Avarice”",Jeweled Dagger
151,Berronar Truesilver ,(F&P p115),Dwarf,LG,I,"“The Revered Mother”, “Mother of Safety”
Safety, Honesty, Home, Healing, “The Dwarven Family, Record, Marriage, Faithfulness, Oaths","Dwarf, Family, Good, Healing, Law, Protection",,
152,Hanseath ,(RoS p17),Dwarf,CN,L,"“The Bearded One”
War, Carousing, Alcohol","Chaos, Strength, Travel, War",Greataxe,Golden Mug
153,Mya ,(RoS p18),Dwarf,NG,G,"“Mother of Wisdom”
Clan, Family, Wisdom","Good, Healing, Knowledge",Morningstar,Stylized Mother & Children
154,Roknar ,(RoS p19),Dwarf,NE,L,"“The Tempter”
Greed, Intrigue, Lies, Earth","Destruction, Earth, Evil, Trickery",Dagger,Hands
155,Tharmekhûl ,(RoS p19),Dwarf,N,D,"“The Tender of the Forge”
Moradin’s assistant","Destruction, Fire, War",Warhammer,Flaming Warhammer
156,Thautam ,(RoS p20),Dwarf,N,I,"Magic, Darkness","Earth, Luck, Magic","Pick, Heavy",3 Stones on a Circle
157,Valkauna ,(RoS p21),Dwarf,LN,I,"“The Runecarver”
Oaths, Death, Birth","Death, Law, Water","Flail, Heavy",Shaking Hands
158,Dark Six ,(FoE p49),Eberron – D6,NE,,"Passion, Destruction, Individuality, Fear, Vengeance",<any two Domains from Dark Six deities>,Kama,Hexagram
159,Fury ,"(Eb p69) 
(FoE p50) 
 (PGE p33)+ 
(DR323 p65)+ 
(FoE p38)+",Eberron – D6,NE,,"“Sovereign of Rage & Ruin”, “Lady of Madness & Passion”, “Szorawai”
Anger, Extremism, Insanity, Passion, Revenge","Evil, Liberation, Hatred, Madness, Passion, Wrath",Rapier,Red & Black Winged Wyrm with a Woman’s Head
160,Keeper ,"(Eb p69) 
(FoE p50) 
 (PGE p33)+ 
(DR323 p65)+
(DR342 p89)+ 
(FoE p38)+",Eberron – D6,NE,,"“Sovereign of Death & Decay”, “Lord of Death & Decay”, “Kol Turrant”
Death, Entropy, Greed, Hunger, Time","Death, Decay, Envy, Evil, Gluttony, Greed, Hunger, Night, Pact",Scythe,Khyber Dragonshard in the shape of a Fang
161,Mockery ,"(Eb p70)
(FoE p50) 
 (DR323 p65)+ 
(FoE p38)+",Eberron – D6,NE,,"“Sovereign of Betrayal & Blood”, “Master of Treachery”, “Dol Azur”
Combat, Dishonor, Murder, Terror, Treachery","Destruction, Domination, Envy, Evil, Illusion, Pride, Trickery, War",Kama,"Five Blood-Spattered Tools, layed out in the shape of an Octogram"
162,Shadow ,"(Eb p70) 
(FoE p51) 
 (PGE p33)+
(DR342 p89)+",Eberron – D6,CE,,"“Sovereign of Magic & Mayhem”, “Master of Treachery”
Arcane Magic, Consequence, Corruption, Darkness, Duality","Chaos, Darkness, Evil, Magic, Mind, Night, Shadow",Quarterstaff,Block of Obsidian in the Sahpe of a Tower
163,Traveler ,"(Eb p70) 
(FoE p51) 
 (PGE p33)+",Eberron – D6,CN,,"“Sovereign of Chaos & Change”, “Lord of Planning & Deception”
Chaos, Deception, Evolution, Invention, Transformation","Artifice, Celerity, Chaos, Charm, Creation, Liberation, Travel, Trickery",Scimitar,Eight-pointed Configuration of Four Crossed & Rune-Inscribed Bones
164,Arawai ,"(Eb p68)
(FoE p28) 
(PGE p138)+ 
(DR355 p26)+",Eberron – Host,NG,,"“Sovereign of Life & Love”, “Goddess of Agriculture”
Fertility, Plants, Abundance","Charity, Creation, Generosity, Good, Humility, Life, Plant, Weather",Morningstar,Stalk of Wheat –or– Octogram colored Bronze & Green
165,Aureon ,"(Eb p68)
(FoE p29) 
(PGE p138)+",Eberron – Host,LN,,"“Sovereign of Law & Lore”, “God of Law and Knowledge”
Arcane Casters, Sages, Scribes","Force, Knowledge, Law, Magic, Mind, Oracle, Spell",Quarterstaff,Open Book –or– Octogram colored Black & White
166,Balinor ,"(Eb p68) 
(FoE p29) 
 (PGE p138)+ 
(DR323 p65)+
(DR342 p89)+ 
(DR355 p26)+",Eberron – Host,N,,"“Sovereign of Horn & Hunt”, “Goddess of Beasts and Hunt”
Hunting, Animals","Air, Animal, Celerity, Earth, Hunt, Patience, Retribution, Wrath",Battleaxe,Pair of Antlers –or– Octogram colored Brown & Red
167,Boldrei ,"(Eb p69)
(FoE p29) 
 (RoD p162)+ 
(DR355 p26)+",Eberron – Host,LG,,"“Sovereign of Hall & Hearth”, “Goddess of Community & Hearth”
Protector of Villages","City, Community, Family, Good, Law, Protection, Temperance",Spear,Hearth –or– Octogram colored Orange & Grey
168,Dol Arrah ,"(Eb p69) 
(FoE p30) 
 (PGE p138)+ 
(DR323 p65)+ 
(DR355 p26)+",Eberron – Host,LG,,"“Sovereign of Sun & Sacrifice”, “God of Honor and Sacrifice”
Honorable Combat, Self-Sacrifice","Charity, Chastity, Glory, Good, Law, Pride, Sun, War, Zeal",Halberd,"Rising Sun –or– 
Octogram colored Yellow & White"
169,Dol Dorn ,"(Eb p69) 
(FoE p30) 
 (PGE p139)+ 
(DR355 p26)+",Eberron – Host,CG,,"“Sovereign of Strength & Steel”, “God of Strength at Arms”
Physical Perfection, Athletes, Monks","Chaos, Competition, Good, Liberation, Strength, War, Zeal",Longsword,"Longsword –or– 
Octogram colored 
Red & Silver"
170,Kol Korran ,"(Eb p69) 
(FoE p30) 
 (PGE p139)+ 
(DR323 p65)+",Eberron – Host,N,,"“Sovereign of World & Wealth”, “God of Trade and Wealth”
Finances, Trade","Charm, Commerce, Greed, Pact, Trade, Travel, Wealth",Mace,"Gold Coin –or– 
Octogram colored Gold & Silver"
171,Olladra ,"(Eb p69) 
(FoE p30) 
 (PGE p139)+ 
(DR323 p65)+",Eberron – Host,NG,,"“Sovereign of Feast & Fortune”, “Goddess of Feast & Fortune”
Luck, Innkeepers, Gamblers","Feast, Generosity, Gluttony, Good, Healing, Luck, Lust, Pride, Sloth",Sickle,"Domino –or– 
Octogram colored White & Grey"
172,Onatar ,"(Eb p69) 
(FoE p31) 
 (PGE p139)+ 
(DR355 p26)+",Eberron – Host,NG,,"“Sovereign of Fire & Forge”, “God of Artifice & the Forge”
Artisans, Smiths","Artifice, Creation, Envy, Fire, Good, Metal, Pride, Temperance, Warforged",Warhammer,"Hammer & Tong –or– 
Octogram colored 
Red & Orange"
173,Sovereign Host ,(FoE p28),Eberron – Host,NG,,"Civilization, Craft, Growth, Plenty, Community, Justice",<any two Domains from Sovereign Host deities>,Longsword,Octogram
174,Blood of Vol ,"(Eb p70) 
(FoE p77)",Eberron – Misc,LE,,"Undeath, Immortality, Blood, Destiny, Obedience","Death, Deathbound, Evil, Law, Necromancer",Dagger,Monstrous Mask around a Drop of Blood
175,Dragon Below ,"(Eb p70) 
(FoE p127) 
 (PGE p87)+",Eberron – Misc,NE,,"Glory, Insanity, Conquest, Darkness, Aberrations","Cavern, Corruption, Darkness, 
Dragon Below, Earth, Evil, Greed, Madness, Pact, 
Pain, Pestilence, Summoner","Pick, Heavy",Stylyzed Dragon Head made from Dark Lines
176,Dreaming Dark ,(PGE p131),Eberron – Misc,LE,,,"Law, Evil, Shadow",Mindblade,
177,Lord of Blades , (FoE p111),Eberron – Misc,LE,,"Battle, Racial Pride, Rulership, Vengeance","Artifice, Evil, Law, War, Warforged",Greatsword,Metal Hand with Blades
178,Path of Inspiration (aka “Riedra”)  ,"(FoE p122)
(PGE p131)",Eberron – Misc,LN,,"Civilization, Discipline, Duty","Community, Law, Meditation",Flail,Dragonshard inside a Seed
179,Path of Light (aka “Il-Yannah”) ,"(Eb p71)
(FoE p127) 
(DR321 p68)+
(DR323 p65)+",Eberron – Misc,LN,,"Light, Compassion, Discipline, Psionics, Righteous Action","Balance, Law, Meditation, Mentalism, Pride, Protection, Radiance",Unarmed Strike,Brilliant Crystal
180,Spirits of the Past , (FoE p142),Eberron – Misc,N,,"Glory, Battle, Bravery, Honor","Destruction, Elf, Protection, Revered Ancestor, War",Double Scimitar,
181,The Becoming God ," (FoE p116) 
(DR355 p26)+",Eberron – Misc,N,,"Life, Discovery, Growth, Self-Sufficiency","Artifice, Meditation, Patience, Strength, Warforged",Slam –or– Gauntlet,Rune on a Stone
182,Undying Court ,"(Eb p71) 
(FoE p140) 
 (RoD p162)+ 
(DR355 p26)+",Eberron – Misc,NG,,"Glory, History, Patience, Revelation, Obedience","Deathless, Destiny, Fate, Good, Humility, Patience, Planning, Protection",Scimitar,<none> –or– Aereni Death Mask
183,Silver Flame ,"(Eb p67)
(FoE p60) 
(DR355 p26)+",Eberron – Silver Flame,LG,,"Purity, Light, Redemption, Self-Sacrifice, Just War","Chastity, Exorcism, Good, Inquisition, Law, Protection, Purification, Zeal",Longbow,Silver Flame
184,Silver Flame – Binding Flame (aka Kalok Shash) ,(PGE p036),Eberron – Silver Flame,LG,,Fights the evils of the Demon Wastes,"Exorcism, Good, Protection, War",Longsword,Silver Flame
185,Silver Flame – Knights Militant ,(PGE p029),Eberron – Silver Flame,LG,,Valor & Self-Sacrifice in battles vs. Evil,"Endurance, Exorcism, Good, Wrath, War",Longbow,Silver Flame
186,Silver Flame – Puritan Sect ,(PGE p029),Eberron – Silver Flame,LG,,Want to remake Eberron in the image of Thrane / the Silver Flame,"Inquisition, Law, Purification",Longbow,Silver Flame
187,Silver Flame –Radiant Flame ,(PGE p029),Eberron – Silver Flame,LG,,Union with the Silver Flame’s ideals in life (instead of waiting for death),"Glory, Good, Mysticism, Protection",Longbow,Silver Flame
188,Aerdrie Faenya ,(F&P p123),Elf,CG,I,"“The Winged Mother”, “Queen of the Avariel”
Air, Weather, Avians, Rain, Fertility, Avariels","Air, Animal, Chaos, Elf, Good, Storm","Quarterstaff
“Thunderbolt”",Cloud with a Bird Silhouette
189,Alobal Lorfiril ,(RotW p20),Elf,CG,D,"“Reveler”, “Merry Magician”
Hedonism, Mirth, Magic Revelry","Chaos, Good, Magic, Trickery",Dagger,Glass of Wine
190,Angharradh ,"(F&P p125) 
(DR355 p26)+",Elf,CG,G,"“The Triune Goddess”, “Queen of Arvandor”
Spring, Fertility, Planting, Birth, Defense, Wisdom","Chaos, Elf, Good, Knowledge, Plant, Protection, Renewal, Zeal","Longspear –or– Shortspear
“Duskshaft”",Three Interconnecting Rings on a Downward Pointing Triangle
191,Elebrin Liothiel ,(RotW p21),Elf,CG,I,"“Celestial Gardener”
Nature, Gardens, Orchards, Harvest","Chaos, Good, Plant, Sun",Quarterstaff,Acorn
192,Erevan Ilesere ,"(F&P p127)
(DR323 p65)+",Elf,CN,I,"“The Chameleon”, “The Green Changeling”, “The Fey Jester”
Mischief, Change, Rogues","Chaos, Elf, Luck, Sloth, Trickery","Shortsword
“Quickstrike”",Starburst with Asymmetrical Rays
193,Fenmarel Mestarine ,(F&P p127),Elf,CN,I,"“The Lone Wolf”
Feral Elves, Outcasts, Scapegoats, Isolation","Animal, Chaos, Elf, Plant, Travel","Dagger
“Thornbite”",Pair of Elven Eyes in the Darkness
194,Hanali Celanil ,"(F&P p128)
(RotW p22) 
(DR323 p65)+ 
(DR355 p26)+",Elf,CG,I,"“Heart of Gold”, “Lady Goldheart”
Love, Romance, Beauty, Enchantments, Magic Item Artistry, Fine Arts, Artists","Chaos, Charm, Elf, Good, Lust, Magic, Protection, Zeal",Dagger,Gold Heart
195,Labelas Enoreth ,"(F&P p128) 
(DR355 p26)+",Elf,CG,I,"“The Lifegiver”, “Lord of the Continuum”, “Sage at Sunset”
The Moment of Choice, Time, Longevity, History","Chaos, Elf, Good, Knowledge, Patience, Time","Quarterstaff
“The Timestaff”",Setting Sun
196,Rillifane Rallathil ,(F&P p129),Elf,CG,I,"“The Leaflord”
Wild Elves, Woodlands, Nature, Druids","Chaos, Elf, Good, Plant, Protection","Quarterstaff
“The Oakstaff”",Oak Tree
197,Shevarash ,(F&P p130) (DR323 p65)+,Elf,CN,I,"“Black Archer”, “Night Hunter”
Hatred of Drow, Vengeance, Loss","Chaos, Elf, Pride, Retribution, War, Wrath","Longbow
“The Black Bow”",Broken Arrow above a Teardrop
198,Solonor Thelandira ,(F&P p131),Elf,CG,I,"“Keen-Eye”, “The Great Archer”
Archery, Hunting, Wilderness","Chaos, Elf, Good, Plant, War","Longbow
“Longshot”",Silver Arrow with Green Fletchings
199,Vandria Gilmadrith ,(RotW p23),Elf,LN,I,"War, Guardianship, Justice, Grief, Vigilance, Decisions","Law, Protection, War",Longbow,Crying Eye
200,Ayailla ,(BoED p24),Exalted,NG,,"“Bright Eagle”, “Brilliant Mistress”","Glory, Good, Sun",Spear,Phoenix
201,Chaav ,(BoED p24),Exalted,CG,,"“Laughing Rogue”, “Smiling God”","Chaos, Good, Joy, Trickery",Quarterstaff,Wild Flowers
202,Estanna ,(BoED p25),Exalted,NG,,"“Hearth Tender”, “The Virgin”","Community, Good, Protection",Dagger,Hearth
203,Lastai ,(BoED p25),Exalted,CG,,"“Goddess of Pleasure, Love, & Passion”","Chaos, Good, Pleasure",Grappling Pole,Peach
204,Phieran ,(BoED p26),Exalted,LG,,“Tortured God”,"Endurance, Good, Law, Protection",Unarmed Strike,"Broken Chain, Shattered Rack"
205,Valarian ,(BoED p26),Exalted,NG,,“Dusk Unicorn”,"Animal, Fey, Good",Unicorn Horn,Silhouette of a Unicorn Rampant
206,Akadi ,(F&P p090),Forgotten Realms,N,G,"“Queen of the Air”
Elemental Air, Movement, Speed, Flying Creatures","Air, Illusion, Travel, Trickery","Flail, Heavy
(whirlwind)",White Cloud on a Blue Background
207,Azuth ,(F&P p012),Forgotten Realms,LN,L,"“The High One”, “Patron of Mages”
Wizards, Spellcasters in general, Monk (Shining Hand)","Illusion, Knowledge, Magic, Law, Spell","Quarterstaff
“The Old Staff”",Left Hand pointing upward outlined in Blue Fire
208,Bane ,"(F&P p014) 
(DR323 p65)+",Forgotten Realms,LE,G,"“The Black Lord”, “The Black Hand”, “Lord of Darkness”
Strike, Hatred, Tyranny, Fear","Envy, Evil, Destruction, Hatred, Law, Pride, Tyranny, Wrath","Morningstar
“The Black Hand of Bane”",Black Fist squeezing out Green Rays
209,Beshaba ,"(F&P p091) 
(DU113 p043) 
 (DR323 p65)+",Forgotten Realms,CE,I,"“The Maid of Misfortune”
Random Mischief, Misfortune, Bad Luck, Accidents","Chaos, Envy, Evil, Fate, Luck, Lust, Trickery, Wrath ","Scourge
“Ill Fortune”",Black Antlers on a Red Field
210,Bhaal ,"(F&P p005) 
(DR322 p94)+",Forgotten Realms,LE,I,"“Lord of Murder”
Death (especially violent or ritual), Assassins","Death, Destruction, Evil, Hatred, Law","Dagger
“Bone Blade”",Skull surrounded by a counter-clockwise orbit of Blood Drops
211,Brandobaris ,(DR323 p065)+,Forgotten Realms,,,,"Greed, Sloth",,
212,Chauntea ,"(F&P p017) 
(DR355 p26)+",Forgotten Realms,NG,G,"“The Great Mother”, “The Grain Goddess”, “Earthmother”
Agriculture, Cultivated Plants, Farmers, Gardeners, Summer","Animal, Earth, Generosity, Good, Plant, Protection, Renewal",Scythe,Blooming Rose on a Sunburst Wreath of Golden Grain
213,Cyric ,"(F&P p020) 
(DR323 p65)+",Forgotten Realms,CE,G,"“Prince of Lies”, “The Dark Sun”, “The Black Sun”
Murder, Lies, Intrigue, Deception, Illusions","Chaos, Destruction, Envy, Evil, Greed, Illusion, Pride, Trickery","Longsword
“Razor’s Edge”",White Jawless Skull on Purple Sunburst
214,Deneir ,"(F&P p092) 
(DR355 p26)+",Forgotten Realms,NG,L,"“Lord of All Glyphs and Images”, “Scribe of Ogma”
Glyphs, Images, Literature, Scribes, Cartography","Good, Knowledge, Patience, Protection, Rune","Dagger
(whirling glyph)",Lit Candle above a Purple Eye
215,Eldath ,"(F&P p093) 
(DR355 p26)+",Forgotten Realms,NG,L,"“Goddess of Singing Waters”
Quiet Places, Springs, Pools, Peace, Waterfalls","Charity, Family, Good, Plant, Protection, Water",Net,Waterfall Plunging into a Still Pool
216,Finder Wyvernspur ,"(F&P p093)
(DR323 p65)+",Forgotten Realms,CN,D,"“The Nameless Bard”
Cycle of Life, Transformation of Art, Saurials","Chaos, Charm, Greed, Pride, Renewal, Scalykind, Sloth","Bastard Sword
“Sword of Songs”",White  Harp on Gray Circle
