,Name,Reference,Pantheon,Align,Rank,Nicknames / Portfolio,Domains,Weapon,Symbol
322,Velnius ,(LGG p186),Greyhawk,"N
(NG)",L,"“The Rainshroud”, “The Elder Breeze”
Sky, Weather","Air, Travel, Water",Shortspear,Bird Perched on a Cloud
323,Wastri ,"(CDiv p123)
 (LGG p187) 
(DR323 p65)+",Greyhawk,"LN
(LE)",D,"“The Hopping Prophet”, “Hammer of False Humans”
Amphibians, Bigotry, Self-Deception","Animal, Law, Pride, Purification, War","Glaive –or– Guisarme
“Skewer of the Impure”",Gray Toad
324,Wenta ,(LGG p187),Greyhawk,CG,L,"“The Alewife”, “Harvest Daughter”
Autumn, West Wind, Harvest, Brewing","Air, Chaos, Good, Plant",Club,Large Mug of Bear
325,Xan Yae ,"(CDiv p123)
 (LGG p188) 
(DR323 p65)+ 
(DR355 p26)+",Greyhawk,N,L,"“Lady of Perfection”
Twilight, Shadows, Stealth, Mental Power","Celerity, Knowledge, Patience, Trickery, War",Falchion –or– Monk Weapons,
326,Xerbo ,(LGG p188),Greyhawk,N,L,"“The Sea Dragon”
Sea, Sailing, Money, Business","Animal, Knowledge, Water",Trident –or– Longspear,Dragon Turtle
327,Ye’Cind ,(LGG p188),Greyhawk,CG,D,"“The Bard”
Music, Magical Songs","Chaos, Good, Knowledge, Magic",Longsword,Recorder
328,Zagyg ,"(LGG p189) 
(DR338 p45)",Greyhawk,"CN
(CG)",D,"“The Mad Arch-Mage”
Humor, Eccentricity, Occult Lore, Unpredictability","Chaos, Knowledge, Magic",Dagger –or– Club,Rune meaning ‘Insanity’
329,Zilchus ,(LGG p189) (DU117 p35),Greyhawk,LN,I,"“The Great Guildmaster”, “The Money Counter”
Power, Prestige, Money, Business","Knowledge, Law, Trickery",Dagger,Hands Clutching a Bag of Gold
330,Zodal ,(LGG p189),Greyhawk,NG,L,"“The Gray Son”, “The Gentle Hand”
Mercy, Hope, Benevolence","Good, Healing, Protection",Unarmed Strike,Hand partially wrapped in Gray Cloth
331,Zuoken ,"(CDiv p123) (CDiv p123)
 (LGG p190) 
(DR355 p26)+",Greyhawk,N,D,"“Master of Da’Shon and Edel”
Physical and Mental Mastery, Monks","Celerity, Chastity, Knowledge, Patience, Strength, War",Unarmed Strike –or– Monk Weapons,Striking Fist
332,Arvoreen ,"(F&P p137)
(RotW p53)
(DR321 p76)+",Halfling,LG,I,"“The Defender”,“The Wary Sword”
Defense, War, Vigilance, Halfling Warriors, Duty","Good, Halfling, Law, Protection, War","Shortsword
“Aegis Heart”",Two Crossed Shortswords
333,Bandobaris ,"(F&P p138)
(RotW p53)",Halfling,N,L,"“The Irrepressible Scamp”
Stealth, Thievery, Adventuring, Halfling Rogues","Halfling, Luck, Travel, Trickery","Dagger
“Escape”",Halfling’s Footprint
334,Cyrollalee ,"(F&P p139)
(RotW p53)
(DR323 p65)+",Halfling,LG,I,"“The Hand of Fellowship”, “The Hearthkeeper”
Friendship, Trust, The Hearth, Hospitality, Crafts","Family, Generosity, Gluttony, Good, Halfling, Law, Sloth","Quarterstaff
“Camaradestave”",Open Door
335,Dallah Thuan ,(RotW p52),Halfling,CN,I,"“The Lady of Mystery”
Halflings, Secrets, Guile, Thieves & Rogues, Acquisition of Wealth, Death","Chaos, Knowledge, Luck, Trickery",Dagger,Purse of Coins being Emptied
336,Sheela Peryrolyl ,"(F&P p139)
(RotW p53) 
(DR323 p65)+",Halfling,N,I,"“Green Sister”, “Watchful Mother”
Nature, Agriculture, Weather, Dance, Beauty, Romantic Love","Air, Charm, Halfling, Lust, Plant, Sloth","Sickle
“Oak Thorn”",Daisy
337,Urogalan ,"(F&P p140)
(RotW p53) 
(DR355 p26)+",Halfling,LN,D,"“He Who Must Be”, “Lord of the Earth”, “The Black Hound”
Earth, Death, Protection of the Dead","Earth, Halfling, Law, Protection, Repose, Temperance","Flail
“Doom Thresher”",Silhouette of a Dog’s Head
338,Urbanus ,(RoD p18),Human,NG,L,"Cities, Growth, Improvement","City, Good, Knowledge, Protection","Mace, Heavy",Helmet shaped as a Domed Spire
339,Zarus ,(RoD p19),Human,LE,G,"Humanity, Domination, Perfection","Destiny, Evil, Law, Strength, War",Greatsword,Handsome Face
340,Aulasha ,(RoD p74),Illumian,LG,D,"“The Librarian”
Learning, Books, Grief","Good, Knowledge, Law",Warhammer,Book
341,Glautru ,(RoD p75),Illumian,N,D,"“The Seer”
Prophecy, Fate, Life and Death","Death, Destiny, Fire, Healing",Longsword,Brazier
342,Soorinek ,(RoD p75),Illumian,LE,D,"“The Doubter”
Intrigue, Secrets, Betrayal","Evil, Luck, Trickery",Scimitar,Star with Watching Eyes
343,Syeret ,(RoD p76),Illumian,CG,D,"“The Lightbringer”
Inspiration, Light, Creativity","Chaos, Sun, Travel",Mace,Setting Sun
344,Tarmuid ,(RoD p73),Illumian,LN,D,"“The First”
Illumians, Magic, Languages","Magic, Protection, Law",Quarterstaff,Star in a Bisected Square
345,Wathaku ,(RoD p77),Illumian,NE,D,"“The Silent”
Entropy, Wrath, Endings","Destruction, Evil, Strength",Morningstar,Page with a Spear through it
346,Adad ,(DR329 p034),Mesopo-tamian,CN,I,"“The Thunderer”, “The Violent”
Rain, Storms, Strength","Air, Chaos, Strength, Water",Warhammer,Lightning
347,Belet-ili ,(DR329 p037),Mesopo-tamian,NG,G,"“Earth Mother”
Earth ","Animal, Earth, Good, Healing, Plant",Quarterstaff,Gem
348,Ereshkigal ,(DR329 p040),Mesopo-tamian,LE,I,"Netherworld, the Dead","Death, Evil, Knowledge, Law",Flail,Bird Talon
349,Ninurta ,(DR329 p044),Mesopo-tamian,NG,L,"“Lord Plough”
Agriculture, Athletes, Youth","Good, Plants, Strength, Travel",Shortbow,Four Wings in a Circle
350,Shamash ,(DR329 p045),Mesopo-tamian,LG,I,"Justice, Sun, Travelers","Good, Knowledge, Law, Sun, Travel",Scimitar,Rising Sun
351,Sin ,(DR329 p046),Mesopo-tamian,N,I,"Fertility, Moon, Time","Animal, Knowledge, Plant, Protection",Spear,Crescent Moon
352,Erebus ,(DR322 p062),Misc.,NE,L,"“Devourer of Light”, “King of Shadows”, “Lord of Darkness”, “The Void Between the Stars”
Darkness, Lies, Night, Shadows, Assassins, Liars, Shadar-Kai, Thieves, Undead","Darkness, Evil, Trickery","Whip
“Shadow Lash”",Horned Arch
353,Erivatius ,(DU123 p079),Misc.,LE,D,"“The Final Guest”, “Lord of Inertia”","Death, Knowledge, Law",Unarmed Strike,Barbed Triangle
354,Eternal Light ,(DR340 p045),Misc.,LN,G,"Life, Reason, Knowledge, Order, Hope, Leadership","Hope, Knowledge, Law, Plant, Sun",Spear,Sun
355,Ezra ,(DR359 p120),Misc.,LN,D,"Protection, Healing, Order","Good, Healing, Law, Protection",,Black Sword on a White Shield
356,Guardian of the Dead Gods ,(DR359 p120),Misc.,LN,L,Dead Gods,"Death, Knowledge, Protection, Repose",,Shattered Statue –or– Broken Holy Symbol
357,Kanchelsis ,(DR359 p121),Misc.,CE,I,"Blood, Debauchery, Seduction, Vampirism","Charm, Darkness, Death, Evil",,Bat with Glowing Red Eyes
358,Kelanen ,(DU117 p035),Misc.,N,,“The Prince of Swords”,"Travel, War",any Sword,9 Swords in a Star
359,Kyuss ,(DR336 p063),Misc.,NE,D,"Creation & Control of the Undead, Decay, Worms","Corruption, Death, Destruction, Evil",Club,Skull with Green Worms coming out of its Eyes & Mouth
360,Lunara ,(DR340 p054),Misc.,N,L,"Feminity, Emotions, The Senses, Divination, Transformation, Cycle of Life, Magic","Emotion, Knowledge, Magic, Trickery",Dagger,Moon
361,Master of the Hunt ,(DR342 p089),Misc.,N,L,"Hunting, Beasts, Night","Animal, Hunt, Strength, Night",Bow –or– Spear,
362,Mellifleur ,(DR359 p121),Misc.,NE,L,"Lichdom, Magic","Death, Evil, Luck, Magic",,Skeletal Hand holding a Crystal Vial
363,Taiia – Creator Aspect ,(D&D p203),Misc.,N,G,"“The Watcher”, “The Maker”, “The Dancer”
Creation, Mortal Life and Death","Air, Chaos, Earth, Good, Healing, Knowledge, Law, Luck, Magic, Protection, Sun, Travel",Trident,Solar Disk with Three Eyes
364,Taiia – Destroyer Aspect ,(D&D p203),Misc.,N,G,"“The Devourer”
Destruction, Mortal Life and Death","Chaos, Death, Destruction, Evil, Fire, Law, Strength, Trickery, War, Water",Battleaxe,Solar Disk with Three Eyes
365,The Oversoul ,(DR350 p088),Misc.,N,,"Psionics, Self-Improvement, Meditation","Knowledge, Luck, Mind, Strength",n/a,Concentric Circles
366,Turaglas ,(DR312 p072),Misc.,CE,,"“The Ebon Maw”, “The Insatiable”, “The Hunger Eternal”, “The Devourer”","Chaos, Destruction, War, Hunger","Flail, Heavy",Black Circle with Teeth Pointing inwards along the Circumference
367,Annam ,"(CDiv p124)
(F&P p221)",Monster,N,G,"Giants, Creation, Learning, Philosphy, Fertility","Knowledge, Magic, Plant, Rune, Sun",Slam –or– Shortspear ,Two Hands with Wrists together and Fingers pointing Down
368,Cegilune ,(DR345 p066),Monster,NE,L,"Hags, Larvae, The Moon","Evil, Knowledge, Moon",Quarterstaff,Overflowing Black Cauldron
369,Diirinka ,"(CDiv p124)
(F&P p221)",Monster,CE,I,"Derro, Magic, Knowledge, Cruelty","Chaos, Destruction, Dream, Dwarf, Evil, Magic, Suffering, Trickery",Dagger,"Spiral of Gray, Black, & White"
370,Grolantor ,"(CDiv p124)
(F&P p221)",Monster,CE,I,"Hill Giants, Ettins, Ogres","Chaos, Death, Earth, Evil, Hatred, Strength",Club –or– Javelin,Spiked Club
371,Hiatea ,"(CDiv p124) 
(F&P p221)
(DR355 p26)+",Monster,NG,G,Female Giants,"Animal, Charity, Good, Family, Moon, Plant, Sun",Spear,Flaming Spear
372,Hruggek ,"(CDiv p124) 
(F&P p221)",Monster,CE,I,"Bugbears, Violence, Combat, Ambushes","Chaos, Evil, Knowledge, Law, Magic, War",Morningstar,Morningstar
373,Iallanis ,"(CDiv p124) 
(F&P p221)
 (DR342 p074)+",Monster,NG,L,"Cloud Giants, Storm Giants, Stone Giants, Lover, Mercy","Good, Healing, Strength, Sun",Battleaxe –or– Slam,Garland of Flowers
374,Ilsensine ,"(CDiv p124) 
(F&P p221)
 (LoM p177)
(DR342 p74)+",Monster,LE,G,"Mind Flayers, Mental Dominion, Magic","Evil, Knowledge, Law, Magic, Mentalism, Mind, Slime, Tyranny",Unarmed Strike –or– Tentacle,"Green Stylized 
Illithid Face"
375,Ka ,(DR318 p072),Monster,LG,G,"“The Preserver”
Lizardfolk, Dinosaurs, Preserving  Dying Races & Cultures","Good, Knowledge, Law, Scalykind",,Dinosaur Claw Holding a Book
376,Kaelthiere ,(CDiv p124),Monster,NE,I,"Salamanders, Efreet, Azer","Destruction, Evil, Fire, War",Spear,
377,Laogzed ,"(CDiv p124) 
(F&P p221) 
 (DR342 p074)+",Monster,CE,D,"Troglodytes, Hunger, Destruction","Chaos, Death, Destruction, Evil, Slime",Javelin,Oozing Toad-Lizard
378,Maglubiyet ,"(CDiv p124) 
(F&P p221) ",Monster,NE,G,"Goblins, Hobgoblins, Leadership, War","Chaos, Destruction, Evil, Planning, Trickery",Battleaxe,Bloody Axe
379,Mak Thuum Ngatha,(LoM p177),Monster,NE,,Psurlons,"Destruction, Knowledge, Madness, Travel",Morningstar,Fan-shaped Glyph of Nine Squiggly Lines
380,Memnor ,"(CDiv p124) 
(F&P p221) ",Monster,NE,I,"Evil Cloud Giants, Pride, Mental Prowess, Control","Death, Evil, Knowledge, Mentalism, Rune, Trickery",Morningstar,Thin Black Obelisk
381,Merrshaulk ,(CDiv p124) ,Monster,CE,I,Yuan-ti,"Chaos, Destruction, Evil, Plant",Longsword,
382,Moongods ,(DR340 p061),Monster,NE,D,"Mooncalves, Astrology, Disasters, Hidden Knowledge","Darkness, Evil, Knowledge, Travel",,Moon obscured by a Shadow
383,Nomog-Geaya ,(DR315 p103),Monster,LN,,Hobgoblins,"Fire, Law, War",Longsword and Hand Axe,
384,Panzuriel ,"(CDiv p124) 
 (DR324 p063)",Monster,NE,I,"Merrow, Scrags, Krakens, Confusion, Murder, Subversion","Corruption, Darkness, Destruction, Evil, War, Water",Whip –or– Net –or– Quarterstaff,Kraken Head –or– Eye with Tentacles
385,Queen of Air and Darkness ,(DR359 p121),Monster,CE,I,"Evil Fey, Darkness, Magic, Murder","Air, Chaos, Darkness, Trickery",,Black Diamond
386,Ravanna ,(DR326 p068),Monster,LE,L,"Rakshasa, Deception, Intrigue, Lies, Tyranny","Destruction, Evil, Trickery",Javelin,
387,Raxivort ,(DR359 p121),Monster,CE,L,"Xvarts, Bats, Wererats, Rats","Animal, Chaos, Evil, Trickery",,"Blue, Flaming Hand"
388,Semuanya ,"(CDiv p124) 
 (DR335 p054)",Monster,N,L,"Lizardfolk, Swamps, The Hunt, Fertility","Animal, Plant, Water",Greatclub,Reptile Egg
389,Shekinester ,(CDiv p124) ,Monster,N,G,Nagas,"Destruction, Knowledge, Magic, Protection",Bite –or– Dagger,
390,Sixin ,(CDiv p124) ,Monster,LE,L,Xills,"Evil, Law, Strength, Travel",Short Sword,
391,Skerrit ,(CDiv p124) ,Monster,NG,L,Centaurs,"Animal, Healing, Plant, Sun",Spear,
392,Skoraeus Stonebones ,"(CDiv p124) 
(DR355 p26)+",Monster,N,I,Stone Giants,"Earth, Healing, Knowledge, Protection, Temperance",Warhammer,
393,Stronmaus ,(CDiv p124) ,Monster,CG,G,"Storm Giants, Cloud Giants","Chaos, Good, Protection, War, Weather",Warhammer,
394,Surtr ,(CDiv p124) ,Monster,LE,L,Fire Giants,"Evil, Fire, Law, Strength, War",Greatsword,
395,The Great Mother,"(CDiv p124)
(F&P p221)
 (LoM p177)",Monster,LE,G,"Beholders, Magic, Fertility, Tyrrany","Chaos, Death, Evil, Hatred, Law, Strength",Bite –or– Greataxe,Eye in an Egg
396,The Patient One,(LoM p177),Monster,NE,,"Aboleths, Cloakers, Chuuls, Avolakias, other Aberrations","Corruption, Evil, Vile Darkness","Flail, Light",Mouth surrounded by Dark-Colored Eyes
397,Vaprak ,(CDiv p124) ,Monster,CE,D,"Ogres, Trolls","Chaos, Destruction, Evil, Strength",Greatclub,
398,Anhur ,"(F&P p141)
(DR323 p65)+",Mulhorandi,CG,L,"“General of the Gods”, “Falcon of War”
War, Conflict, Physical Prowess, Thunder, Rain","Chaos, Good, Strength, Storm, War, Wrath","Falchion
“Warhawk”",Hawk-headed Falchion bound with a Cord
399,Geb ,"(F&P p142)
(DR323 p65)+",Mulhorandi,N,L,"“King of the Riches Under the Earth”, “Father Under the Skies and Sand”
The Earth, Miners, Minerals","Cavern, Craft, Earth, Greed, Protection","Quarterstaff
“Stonemantle”",A Mountain
400,Horus-Re ,"(F&P p143) 
(DR321 p68)+
(DR323 p65)+",Mulhorandi,LG,G,"“Lord of the Sun”, “Master of Vengeance”, “Pharaoh of the Gods”
The Sun, Vengeance, Kings, Life","Destiny, Good, Law, Nobility, Pride, Radiance, Retribution, Sun, Wrath",Khopesh,Hawk’s Head in a Pharaoh’s Crown surrounded by a Solar Disk
401,Sebek ,"(F&P p146)
(DR323 p65)+",Mulhorandi,NE,D,"“The Smiling Death”, “Lord of Crocodiles”
River  Hazards, Crocodiles, Werecrocodiles, Wetlands","Animal, Evil, Gluttony, Scalykind, Water","Spear
“The Sorrowful Spear”",Crocodile Head wearing a Horned & Plumed Headdress
402,Aphrodite ,(D&D p103),Olympian,CG,I,"Love, Beauty","Chaos, Charm, Good",Dagger,Seashell
403,Apollo ,(D&D p105),Olympian,CG,I,"“Musician of the Gods”, 
“The Farshooter”
Light, Prophecy Music, Healing","Good, Healing, Knowledge, Magic, Sun",Longbow,Lyre
404,Artemis ,(D&D p108),Olympian,NG,I,"“Friend of Youth”, “The Huntress”
Hunting, Wild Beasts, Childbirth, Dance","Animal, Good, Plant, Sun",Shortsword,Bow and Arrow on a Lunar Disc
405,Athena ,(D&D p110),Olympian,LG,G,"Wisdom, Crafts, Civilization, War","Artifice, Community, Good, Knowledge, Law, War",Shortspear,Owl
406,Demeter ,(D&D p112),Olympian,N,L,"“The Gift-Giver”
Agriculture","Earth, Plant, Protection",Shortspear –or– Halfspear,Mare’s Head
407,Dionysus ,(D&D p114),Olympian,CN,I,"Mirth, Madness, Win, Fertility, Theater","Chaos, Destruction, Madness",Quarterstaff,"Thrysus, a staff tipped with a pine cone and twisted with a Vine"
408,Hades ,(D&D p115),Olympian,NE,G,"Death, Underworld, Earth, Wealth","Death, Earth, Evil",Longsword,Black Ram
409,Hecate ,(D&D p117),Olympian,NE,I,"“Goddess of the Dark of the Moon”
Moon, Magic, Abundance, Undead","Creation, Evil, Knowledge, Magic",Dagger,Setting Moon
410,Hephaestus ,(D&D p119),Olympian,NG,I,"“God of the Forge”
Smithing, Crafts","Artifice, Community, Earth, Fire, Good",Warhammer,Hammer and Anvil
411,Hera ,(D&D p120),Olympian,N,G,"Marriage, Women, Intrigue","Community, Nobility, Protection, Trickery","Mace, Light",Fan of Peacock Feathers
412,Hercules ,(D&D p122),Olympian,CG,D,"Strength, Adventure","Chaos, Luck, Strength",Greatclub,Lion’s Head
413,Hermes ,(D&D p123),Olympian,CG,I,"“Messenger of the Gods”
Travel, Trade, Theft, Gambling, Running","Chaos, Good, Luck, Travel, Trickery",Quarterstaff,"Caduceus (i.e., a winged staff with two entwining serpents)"
414,Hestia ,(D&D p125),Olympian,NG,L,"Home, Hearth, Family","Community, Good, Protection",Dagger,Hearth
415,Nike ,(D&D p126),Olympian,LN,D,"“Goddess of Victory”
Victory","Law, Nobility, War","Mace, Light",Winged Woman
416,Pan ,(D&D p127),Olympian,CN,L,"Nature, Passion, Shepherds, Mountains","Animal, Chaos, Plant",Unarmed Strike,"Syrinx (i.e., Pan Pipes)"
417,Poseidon ,(D&D p129),Olympian,CN,G,"“Earth-Shaker”, “Savior of Ships”
Sea, River, Earthquakes","Chaos, Earth, Water",Trident,Trident
418,The Academy ,(D&D p133),Olympian,NG,—,Philosophy of Learning,"Good, Knowledge",Quarterstaff,Scroll
419,Tyche ,(D&D p130),Olympian,N,L,Luck,"Luck, Protection, Travel",Shortsword,Red Pentagram
420,Zeus ,(D&D p101),Olympian,CG,G,"“Father of Dogs and Mortals”, “Averter of Ills”
Sky, Air, Storms, Fate, Nobility","Air, Chaos, Good, Nobility, Strength, Weather",Shortspear –or– Halfspear,Fist filled with Lightning Bolts
421,Bahgtru ,"(F&P p149) 
(DR323 p065)+",Orc,CE,,"“The Strong”, “The Son of Gruumsh”
Loyalty, Stupidity, Brute Strength","Chaos, Evil, Orc, Strength, Wrath","Spiked Gauntlet
“Crush”",Broken Thighbone
422,Ilneval ,(F&P p149),Orc,NE,,"“The Horde Leader”, “Lieutenant of Gruumsh”
War, Combat, Overwhelming Numbers, Strategy","Destruction, Evil, Orc, Planning, War","Longsword
“Foe Smasher”",Blodied Longsword
423,Luthic ,"(F&P p150)
(DR323 p65)+ (DR342 p74)+",Orc,NE,L,"“The Cave Mother”, “The Blood Moon Witch”
Orcs, Caves, Fertility, Healing","Cavern, Earth, Evil, Family, Healing, Lust, Orc, Sloth",Claw Bracer,Orc Rune for Home
424,Shargaas ,"(F&P p150)
(DR323 p65)+",Orc,CE,L,"“The Night Lord”, “The Blade in the Darkness”, “Stalker Below”
Night, Thieves, Stealth, ","Chaos, Darkness, Envy, Evil, Greed, Orc, Trickery","Shortsword
“Nightblade”",Skull on a Red Crescent Moon
425,Yurtrus ,"(F&P p151)
(DR323 p65)+",Orc,NE,L,"“White Hands”, “Rotting One”, “Lord of Maggots”
Death, Disease","Death, Destruction, Evil, Orc, Suffering, Wrath",Unarmed Strike,White Hands
426,Anubis ,"(D&D p140)
(Sand p47)",Pharaonic,LN,L,"“Judge of the Dead”
Judgment, Dead","Law, Magic, Repose",Mace,Black Jackal
427,Apep ,"(D&D p141)
(Sand p47)",Pharaonic,NE,D,"“Living Embodiment of Evil”
Evil, Fire, Serpents","Evil, Fire, Sand, Scalykind","Pick, Heavy",Flaming Snake
428,Bast ,"(D&D p143)
(Sand p47)",Pharaonic,NG,L,"“The Wild Deity
Cats, Vengeance, Protection, Punishment","Chaos, Destruction, Protection, Strength, War","Spiked Gauntlet
(aka Tiger Claws)",Cat
429,Bes ,(D&D p144),Pharaonic,CN,L,"“God of Luck”, “Protector of Women in Childbirth”
Luck, Music, Protection","Luck, Protection, Trickery",Shortsword,Image of Bes
430,Imhotep ,"(D&D p146)
(Sand p47)",Pharaonic,NG,D,"“Advisor to Kings”, “Builder of Pyramids”
Crafts, Medicine","Artifice, Earth, Healing, Knowledge, Rune",Quarterstaff,A Step Pyramid
431,Ptah ,"(D&D p152)
(Sand p47)",Pharaonic,LN,I,"“Mysterious Creator”
Crafts, Knowledge, Secrets, Travel","Creation, Knowledge, Law, Travel",Mace,Bull
432,Re-Horakhty ,"(D&D p138)
(Sand p47)",Pharaonic,LG,G,"“God of Kings”
Nobility, Sun, Supreme, Vengeance","Glory, Good, Law, Nobility, Sun, War",Khopesh,Solar Disk encircled by a Serpent
433,Sobek ,(D&D p155),Pharaonic,LE,D,"“The Misshapen”
Water, River Hazards, Crocodiles, Wetlands","Animal, Evil, Water",Shortspear,Crocodile Head with Horned and Plumed Headdress
434,Duthila ,(RotW p77),Raptoran,N,L,"“Lady of Abundance”
Autumn, Hunting, Abundance","Animal, Plant, Sky, Travel",Scythe,Ripe Apples
435,Kithin ,(RotW p78),Raptoran,N,L,"“Father of Snows”
Winter, The Dead and Dying, Barrenness, Paucity","Animal, Death, Fire, Plant",Spear,Snowflake
436,Lliendil ,(RotW p78),Raptoran,CN,I,"“Stormfather”
Weather, Rain, Storms, Sun, Wind, Change, Trickery","Air, Destruction, Sky, Trickery, Water","Flail, Heavy",Silhouette of a Flying Raptoran back by a Storm Cloud
437,Nilthina ,(RotW p79),Raptoran,N,L,"“Lord of Warm Winds”
Summer, Abundance, Warmth, Growth, Lore","Air, Animal, Plant, Sun",Scimitar,Handful of Berries
438,Tuilviel Glithien ,(RotW p77),Raptoran,CG,G,"“Queen of Air and Night”
Raptorans, Night Birds, Stars, Moon","Air, Chaos, Good, Protection, Sky",Foot Spikes,Owl
439,Ventila ,(RotW p79),Raptoran,N,L,"“Lady of Spring”
Spring, Fertility, Growth, Love","Animal, Healing, Plant, Water",Quarterstaff,Egg
440,Al-Ishtus ,(Sand p45),The Waste,NE,,Desert Raiders,"Animal, Death, Destruction, Evil, War",Whip,Scorpion with its Tail Raised to Strike
441,Aurifar ,(Sand p45),The Waste,N,,“Caliph of the Sky”,"Fire, Luck, Summer, Sun, Travel",Heavy Spiked Shield,Golden Disk polished to a Mirror-like Sheen
442,Azul ,(Sand p45),The Waste,LE,,"Rain, Desert Nomads","Evil, Law, Plant, Thirst, Water",Whip,Jagged Red Line enclosing drops of Water
443,Haku ,(Sand p45),The Waste,CG,,"“Master of the Desert Wind”
Waste Nomads","Air, Chaos, Good, Protection, Travel",Scimitar,Stylized Gust of Wind
444,Solanil ,(Sand p46),The Waste,NG,,“Goddess of Oases”,"Animal, Good, Healing, Protection, Summer, Travel, Water",Quarterstaff,Pool of Water at the base of a Date Tree
445,Tem-Et-Nu ,(Sand p46),The Waste,LN,,"“Bringer of Life”, “Provider of Wealth”, “Deity of Rivers”","Knowledge, Magic, Nobility, Travel, War",Kama,
446,Zoser ,(Sand p46),The Waste,CN,,Desert Whirlwinds,"Air, Chaos, Destruction, Sand, Summer",Spiked Chain,Stylized Drawing of a Tornado
447,Aventernus ,(Storm p49),The Waters,LG,,"“Stern God of Justice”
Aventi","Good, Law, Ocean, Seafolk, Strength",Spear,White Spear striking and parting Water
448,Whale Mother ,(Storm p49),The Waters,LG,,Darfellan,"Animal, Good, Law, Ocean, Seafolk","Greatclub
(a paddle)",Leaping Whale
449,Yeathan ,(Storm p49),The Waters,NG,,"“Lord of Deep Darkness Blow”
Malevolents of the Sea","Blackwater, Destruction, Evil",Trident,Dark Blue-Green Spiral with a Black Center
450,Brother Shell ,(DR315 p073),Tortle,,,"“The Warrior”
Tortle","Destruction, Fire, War",,
451,Father Earth ,(DR315 p073),Tortle,,,"“The Life-Bringer”
Tortle","Animal, Earth, Good, Strength",,
452,Mother Ocean ,(DR315 p073),Tortle,,,"“The Protector”
Tortle","Good, Healing, Protection, Water",,
453,Sister Grain ,(DR315 p073),Tortle,,,"“Patron of Farmers and Fertility”
Tortle","Air, Plant, Sun",,
454,Afflux ,(LM p16),Undead,NE,L,"“Bloodfather”, “The Bloodspiller” “The Unsatisfied Questioner”
Inquiry, Necromancy, Death","Knowledge, Evil, Deathbound, Undeath",Shortsword,Drop of Blood
455,Dorsain ,(LM p16),Undead,CE,D,"“King of the Ghouls”
Necromancy, Ghouls","Chaos, Evil, Hunger",Scimitar,Rotting Skull with Bones Behind It
456,Evening Glory ,(LM p17),Undead,N,L,"“The Deathless Beauty”, 
“The Eternal Lover”
Love, Beauty, Immortality Through Undeath","Charm, Magic, Protection",Dagger,Open Hand with a Heart-Shaped Hole
457,Altua ,(CWar p148),Warrior,LG,,"Honor, Nobility","Good, Law, Nobility, War",Longsword,Scroll
458,Halmyr ,(CWar p148),Warrior,LN,,"Strategy, Skill","Law, Planning, War",Rapier,Full Helm
459,Konkresh ,(CWar p148),Warrior,CN,,Brute Force,"Chaos, Destruction, Strength",Greatclub,Broken Shield
460,Lyris ,"(CWar p148)
(RoD p162)+",Warrior,N,,"Victory, Fate","Destiny, Fate, Luck, War",Warhammer,Dagger Balance on a Finger
461,Nadirech ,(CWar p149),Warrior,CE,,"Cowardice, Trickery","Chaos, Evil, Luck, Trickery",Shortsword,Jeweled Ring
462,Sulerain ,(CWar p149),Warrior,NE,,Slaughter,"Death, Destruction, Evil",Greataxe,Eye Crying Blood
463,Syreth ,(CWar p148),Warrior,NG,,"“The Guardian”
Protection, Community","Good, Healing, Protection","Mace, Heavy",Triangular Shield
464,Typhos ,(CWar p148),Warrior,LE,,Tyranny,"Evil, Law, Tyranny, War",Greatsword,Hand Wielding Whip
465,Valkar ,(CWar p148),Warrior,CG,,Courage,"Chaos, Courage, Good, Strength",Battleaxe,Sword in a Mailed Hand
